MATURITY,COUPON,BID,ASKED,CHG,ASKED YIELD
8/15/2042,2.750,112.1820,112.2020,0.1300,2.006
11/15/2042,2.750,112.1540,112.1740,0.1280,2.017
2/15/2043,3.125,119.0540,119.0740,0.8120,2.012
5/15/2043,2.875,114.2500,114.2700,0.1360,2.023
8/15/2043,3.625,128.1220,128.1420,0.8320,2.010
11/15/2043,3.750,130.2640,130.2840,0.1480,2.012
2/15/2044,3.625,128.2240,128.2440,0.1480,2.020
5/15/2044,3.375,124.0920,124.1120,0.8300,2.027
8/15/2044,3.125,119.2160,119.2360,0.1440,2.040
11/15/2044,3.000,117.1360,117.1560,0.8240,2.046
2/15/2045,2.500,108.0060,108.0260,0.8220,2.062
5/15/2045,3.000,117.2240,117.2440,0.1500,2.047
8/15/2045,2.875,115.1120,115.1320,0.8260,2.054
11/15/2045,3.000,117.2900,117.3100,0.1580,2.051
2/15/2046,2.500,108.0640,108.0840,0.8240,2.066
5/15/2046,2.500,108.0740,108.0940,0.8240,2.068
8/15/2046,2.250,103.1120,103.1320,0.8500,2.074
11/15/2046,2.875,115.2800,115.3000,0.1680,2.059
2/15/2047,3.000,118.1620,118.1820,0.1620,2.056
5/15/2047,3.000,118.2120,118.2320,0.1700,2.056
8/15/2047,2.750,113.1760,113.1960,0.1600,2.067
11/15/2047,2.750,113.2100,113.2300,0.1680,2.067
2/15/2048,3.000,118.3060,119.0060,0.1760,2.061
5/15/2048,3.125,121.2300,121.2500,0.1760,2.058
8/15/2048,3.000,119.0660,119.0860,0.8560,2.062
11/15/2048,3.375,127.1420,127.1620,0.8620,2.048
2/15/2049,3.000,119.1860,119.2060,0.1720,2.057
5/15/2049,2.875,117.0120,117.0320,0.8560,2.060
8/15/2049,2.250,103.2220,103.2420,0.1600,2.072
11/15/2049,2.375,106.1540,106.1740,0.8480,2.067
2/15/2050,2.000,98.0920,98.1120,0.8320,2.077
5/15/2050,1.250,81.2820,81.3020,0.1520,2.092
8/15/2050,1.375,84.1440,84.1640,0.8320,2.093
11/15/2050,1.625,89.2840,89.3040,0.1520,2.087
2/15/2051,1.875,95.1420,95.1620,0.8460,2.080
5/15/2051,2.375,106.2520,106.2720,0.1760,2.065
8/15/2051,2.000,98.0940,98.1140,0.8580,2.074
